source_center,destination_center,volume,median_factor,median_actual,median_osrm,total_excess_delay,breach_legs,median_distance,ftl_share,breach_rate,source_name,dest_name
IND209304AAA,IND282001AAA,9,2.409090909090909,463.0,183.0,2186.0,9,259.6838,1.0,1.0,Kanpur_Central_H_6 (Uttar Pradesh),Agra_Idgah_P (Uttar Pradesh)
IND811399AAA,IND110044AAB,40,3.0436507936507935,52.5,16.0,2182.0,40,13.89025,0.0,1.0,Noida_Sector02_C (Uttar Pradesh),Del_Okhla_PC (Delhi)
IND600056AAB,IND600032AAB,52,2.328877005347594,78.0,33.0,2180.0,52,36.613200000000006,0.0,1.0,MAA_Poonamallee_HB (Tamil Nadu),Chennai_Hub (Tamil Nadu)
IND500039AAC,IND501359AAE,15,4.037037037037037,126.0,27.0,2179.0,15,34.745,0.0,1.0,Hyderabad_Uppal_I (Telangana),Hyderabad_Shamshbd_H (Telangana)
IND302014AAA,IND301001AAB,21,1.913793103448276,221.0,117.0,2170.0,21,144.5915,1.0,1.0,Jaipur_Hub (Rajasthan),Alwar_Central_I_1 (Rajasthan)
IND742101AAC,IND712311AAA,7,2.919254658385093,453.0,160.0,2131.0,7,218.2368,1.0,1.0,Baharampur_Chuanpur_I (West Bengal),Kolkata_Dankuni_HB (West Bengal)
IND313001AAB,IND327001AAB,8,2.741721854304636,414.0,151.0,2113.0,8,212.60215,1.0,1.0,Udaipur_Mangri_I (Rajasthan),Banswara_KhandDPP_D (Rajasthan)
IND842001AAA,IND847212AAA,22,2.191780821917808,160.0,73.0,2075.0,22,98.31475,1.0,1.0,Muzaffrpur_Bbganj_I (Bihar),Madhubani_Bardivan_D (Bihar)
IND210501AAB,IND209304AAA,16,2.4615384615384617,224.0,91.0,2060.0,16,115.4576,0.0,1.0,Bewar_BndhuTRH_D (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh)
IND416012AAA,IND415612AAA,10,2.8608247422680413,277.5,97.0,2058.0,10,134.23609999999996,1.0,1.0,Kolhapur_Shivaji_I (Maharashtra),Ratnagiri_MjgaonRd_D (Maharashtra)
IND110037AAM,IND121004AAB,46,2.1555299539170507,63.5,27.0,2050.0,46,28.8804,0.0,1.0,Delhi_Airport_H (Delhi),FBD_Balabhgarh_DPC (Haryana)
IND785690AAB,IND785682AAA,16,4.188235294117647,144.5,33.0,2045.0,16,46.062200000000004,0.0,1.0,Sonari_Central_DPP_1 (Assam),Sivasagar_Babupaty_D (Assam)
IND523002AAA,IND600056AAB,11,1.7312252964426875,438.0,253.0,2043.0,11,331.1279,1.0,1.0,Ongole_SubhVRTL_I (Andhra Pradesh),MAA_Poonamallee_HB (Tamil Nadu)
IND305001AAC,IND306401AAB,15,2.0080645161290325,249.0,123.0,2036.0,15,166.6069,1.0,1.0,Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan)
IND505122AAA,IND506002AAA,16,3.2321428571428568,133.0,40.0,2035.0,16,48.40615,1.0,1.0,Jammikunta_ConduDPP_D (Telangana),Warangal_HunterRd_I (Telangana)
IND794101AAA,IND781018AAB,9,2.408805031446541,383.0,159.0,2024.0,9,207.3622,1.0,1.0,Tura_Sracmplx_D (Meghalaya),Guwahati_Hub (Assam)
IND211002AAB,IND209304AAA,16,1.855072463768116,262.5,138.0,2021.0,16,196.00885,1.0,1.0,Allahabad_Central_H_1 (Uttar Pradesh),Kanpur_Central_H_6 (Uttar Pradesh)
IND390022AAA,IND395023AAA,21,1.775,216.0,121.0,2018.0,21,167.0285,1.0,1.0,Vadodara_Karelibaug_DPC (Gujarat),Surat_HUB (Gujarat)
IND411033AAA,IND416012AAA,13,1.6363636363636365,360.0,220.0,2005.0,13,249.2718,1.0,1.0,Pune_Tathawde_H (Maharashtra),Kolhapur_Shivaji_I (Maharashtra)
IND562132AAA,IND518002AAA,12,1.5867807630965527,453.0,286.0,1997.0,12,346.25845000000004,1.0,1.0,Bangalore_Nelmngla_H (Karnataka),Kurnool_AbbasNgr_I (Andhra Pradesh)
IND786181AAC,IND786001AAB,14,3.2333333333333334,194.0,60.0,1991.0,14,84.9711,0.0,1.0,Margherita_CivilHPL_D (Assam),Dibrugarh_Bokule_H (Assam)
IND424006AAA,IND421302AAG,8,2.2170731707317075,454.0,201.5,1974.0,8,284.77470000000005,1.0,1.0,Dhule_MIDCAvdn_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra)
IND751002AAB,IND760003AAB,12,2.030075187969925,272.0,135.5,1963.0,12,181.19455,1.0,1.0,Bhubaneshwar_Hub (Orissa),Berhampur_Khajuria_I (Orissa)
IND160002AAC,IND143001AAA,11,1.9830508474576272,354.0,177.0,1961.0,11,247.0728,1.0,1.0,Chandigarh_Mehmdpur_H (Punjab),Amritsar_DPC (Punjab)
IND712311AAA,IND700026AAC,29,2.5,90.0,36.0,1957.0,29,33.6401,0.0,1.0,Kolkata_Dankuni_HB (West Bengal),CCU_Lake Avenue_DPC (West Bengal)
IND500080AAB,IND501359AAE,20,2.6439393939393936,61.5,21.0,1955.0,20,26.387500000000003,0.0,1.0,Hyderabad_Chikdply_I (Telangana),Hyderabad_Shamshbd_H (Telangana)
IND160002AAC,IND144001AAB,13,2.1621621621621623,243.0,112.0,1952.0,13,158.5797,1.0,1.0,Chandigarh_Mehmdpur_H (Punjab),Jalandhar_DPC (Punjab)
IND503111AAC,IND501359AAE,13,2.233009708737864,230.0,103.0,1939.0,13,137.8776,1.0,1.0,Kamareddy_Devenply_I (Telangana),Hyderabad_Shamshbd_H (Telangana)
IND400015AAB,IND421302AAG,23,3.1724137931034484,92.0,32.0,1939.0,23,42.62,0.0,1.0,Mumbai_CotnGren_M (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra)
IND000000ABG,IND501359AAF,11,7.0,191.0,27.0,1938.0,11,32.6832,0.0,1.0,Hyderabad_Bownplly_C (Telangana),Hyderabad_Shamshbd_P (Telangana)
IND563125AAB,IND560300AAB,12,4.358320251177394,219.5,48.5,1936.0,12,54.20675,0.0,1.0,Chintamani_Central_D_2 (Karnataka),Bangalore_East_I_20 (Karnataka)
IND500050AAA,IND501359AAE,21,2.419354838709677,75.0,32.0,1926.0,21,36.0739,0.0,1.0,Patancheru_Ameenpur_I (Telangana),Hyderabad_Shamshbd_H (Telangana)
IND562132AAA,IND560083AAB,50,1.5060975609756098,60.0,39.0,1921.0,49,41.6344,0.0,0.98,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Bnnrghta_L (Karnataka)
IND131028AAB,IND247667AAB,15,1.9285714285714288,270.0,140.0,1903.0,15,163.7663,1.0,1.0,Sonipat_Kundli_H (Haryana),Roorkee_IOTCEncl_L (Uttarakhand)
IND507117AAB,IND507303AAA,18,1.9780855539971949,183.0,93.0,1901.0,18,123.4079,1.0,1.0,Manuguru_AskNagar_D (Telangana),Sathupally_VidyaNGR_D (Telangana)
IND382430AAB,IND384205AAA,20,1.5297619047619047,128.5,85.0,1884.0,20,95.1368,1.0,1.0,Ahmedabad_East_H_1 (Gujarat),Mehsana_Panchot_IP (Gujarat)
IND506167AAB,IND501359AAE,16,2.2183133322373827,173.0,79.0,1883.0,16,109.03565,1.0,1.0,Jangaon_Hanmkond_D (Telangana),Hyderabad_Shamshbd_H (Telangana)
IND401104AAB,IND421302AAG,23,2.923076923076923,74.0,25.0,1882.0,23,28.4647,0.0,1.0,Mumbai_MiraRoad_M (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra)
IND560058AAD,IND562132AAA,36,1.7019927536231885,39.5,23.0,1880.0,34,15.08155,0.0,0.9444444444444444,Bengaluru_Peenya_L (Karnataka),Bangalore_Nelmngla_H (Karnataka)
IND501359AAE,IND518002AAA,16,1.7789855072463767,245.5,138.0,1851.0,16,194.0363,1.0,1.0,Hyderabad_Shamshbd_H (Telangana),Kurnool_AbbasNgr_I (Andhra Pradesh)
IND160002AAC,IND173212AAA,18,2.1426985370950886,188.5,88.0,1850.0,18,99.599,1.0,1.0,Chandigarh_Mehmdpur_H (Punjab),Solan_MohanPrk_D (Himachal Pradesh)
IND000000ACB,IND121004AAB,31,1.796875,115.0,65.0,1837.0,31,77.9212,0.0,1.0,Gurgaon_Bilaspur_HB (Haryana),FBD_Balabhgarh_DPC (Haryana)
IND273014AAB,IND277303AAC,18,1.98,198.0,101.0,1831.0,18,129.46165000000002,1.0,1.0,Gorakhpur_Matriprm_IP (Uttar Pradesh),Sikandarpur_Central_D_3 (Uttar Pradesh)
IND742401AAA,IND742102AAB,12,3.0151515151515156,199.0,66.0,1824.0,12,63.38035,0.0,1.0,Ghanashyampur_NditaDPP_D (West Bengal),Berhampore_Central_I_2 (West Bengal)
IND444602AAA,IND444005AAB,21,2.081081081081081,155.0,74.0,1823.0,21,96.8424,1.0,1.0,Amravati_DC (Maharashtra),Akola_Gaurkshn_I (Maharashtra)
